year,syndicate,managing_agent,syndicate_cob,harmonised_lob,aggregate_lob,gross_written_premium,gross_earned_premium,gross_incurred,operating_expenses,gross_uw_result,net_uw_result,unit,currency,gross_loss_ratio,gross_expense_ratio,gross_combined_ratio,net_uw_margin
2025,1969,Apollo,Credit and suretyship,Pecuniary loss,Casualty,55434.0909090909,39654.5454545455,-13360.6060606061,-14359.0909090909,11934.8484848485,7656.81818181818,1000,GBP,33.69,36.21,69.9,19.31
2025,1971,Apollo,Credit and suretyship,Pecuniary loss,Casualty,195.454545454545,344.69696969697,-2789.39393939394,-95.4545454545455,-2540.15151515152,-2493.93939393939,1000,GBP,809.23,27.69,836.92,-723.52
2025,1988,Asta,Credit and suretyship,Pecuniary loss,Casualty,2801.51515151515,2647.72727272727,-750.0,-1180.30303030303,717.424242424242,717.424242424242,1000,GBP,28.33,44.58,72.91,27.1
2025,1994,Apollo,Credit and suretyship,Pecuniary loss,Casualty,0.0,0.0,0.0,0.0,0.0,-0.757575757575758,1000,GBP,,,,
2025,2025,Polo,Credit and suretyship,Pecuniary loss,Casualty,9072.72727272727,945.454545454545,-365.909090909091,-992.424242424242,-412.878787878788,-596.969696969697,1000,GBP,38.7,104.97,143.67,-63.14
2025,2358,Nephila,Credit and suretyship,Pecuniary loss,Casualty,10762.8787878788,3586.36363636364,-1834.09090909091,-1503.0303030303,249.242424242424,216.666666666667,1000,GBP,51.14,41.91,93.05,6.04
2025,2454,Apollo,Credit and suretyship,Pecuniary loss,Casualty,19129.5454545455,4461.36363636364,-2283.33333333333,-2260.60606060606,-82.5757575757576,-479.545454545455,1000,GBP,51.18,50.67,101.85,-10.75
2025,2623,Beazley,Credit and suretyship,Pecuniary loss,Casualty,89983.3333333333,84500.7575757576,-26093.1818181818,-27484.8484848485,30922.7272727273,24864.3939393939,1000,GBP,30.88,32.53,63.41,29.43
2025,2689,Asta,Credit and suretyship,Pecuniary loss,Casualty,303.787878787879,153.787878787879,-6.81818181818182,9.09090909090909,156.060606060606,117.424242424242,1000,GBP,4.43,5.91,10.34,76.35
2025,2843,Polo,Credit and suretyship,Pecuniary loss,Casualty,562.121212121212,203.030303030303,-66.6666666666667,-173.484848484848,-37.1212121212121,-37.1212121212121,1000,GBP,32.84,85.45,118.29,-18.28
2025,2880,Asta,Credit and suretyship,Pecuniary loss,Casualty,1170.45454545455,585.606060606061,-302.272727272727,-303.030303030303,-19.6969696969697,-93.1818181818182,1000,GBP,51.62,51.75,103.37,-15.91
