year,syndicate,reporting_currency,reporting_unit,syndicate_cob,gross_written_premium,gross_earned_premium,gross_claims_incurred,operating_expenses,ri_balance,source
2020,1861,GBP,1000,Accident and health,47284.0,48024.0,-34465.0,-19455.0,548.0,2020 AR
2015,1880,GBP,1000,Accident and health,1222.0,2446.0,-1367.0,-1131.0,-148.0,2016 AR
2016,1880,GBP,1000,Accident and health,394.0,1097.0,-613.0,-473.0,2.0,2016 AR
2017,1880,GBP,1000,Accident and health,216.0,320.0,35.0,-145.0,-22.0,2018 AR
2018,1880,GBP,1000,Accident and health,29.0,51.0,-38.0,-1.0,73.0,2018 AR
2021,1880,GBP,1000,Accident and health,7513.0,3471.0,-1893.0,-2739.0,-78.0,2021 AR
2022,1880,GBP,1000,Accident and health,8883.0,8714.0,-5034.0,-4392.0,-368.0,2022 AR
2023,1880,GBP,1000000,Accident and health,9.5,9.5,-4.8,-4.9,-0.4,2023 AR
2024,1880,GBP,1000,Accident and health,7994.0,8763.0,-3363.0,-4570.0,-328.0,2024 AR
2015,1882,GBP,1000,Accident and health,-75.0,250.0,-125.0,-58.0,0.0,2016 AR
2016,1882,GBP,1000,Accident and health,-51.0,251.0,-97.0,-31.0,0.0,2016 AR
2022,1884,GBP,1000,Accident and health,-537.0,-759.0,4023.0,262.0,-418.0,2022 AR
2023,1884,GBP,1000,Accident and health,96.0,107.0,-1456.0,-111.0,-370.0,2023 AR
2024,1884,GBP,1000,Accident and health,-48.0,-54.0,-257.0,-10.0,7515.0,2024 AR
2022,1892,GBP,1000,Accident and health,20792.0,19156.0,-12196.0,-2754.0,0.0,2023 AR
2023,1892,GBP,1000,Accident and health,20599.0,20345.0,-13248.0,-2926.0,0.0,2023 AR
2019,1919,USD,1000,Accident and health,3314.0,12834.0,-9164.0,-1541.0,-2985.0,2020 AR
2020,1919,USD,1000,Accident and health,15557.0,5677.0,-7518.0,-1434.0,1372.0,2020 AR
2021,1919,USD,1000,Accident and health,23648.0,16104.0,-11460.0,-3364.0,-1846.0,2021 AR
2022,1919,USD,1000,Accident and health,28863.0,24798.0,-15228.0,-5051.0,-4975.0,2022 AR
2023,1919,USD,1000,Accident and health,39736.0,33521.0,-15878.0,-7146.0,-9654.0,2023 AR
2024,1919,USD,1000,Accident and health,36538.0,35731.0,-25131.0,-38444.0,25583.0,2024 AR
2015,1945,GBP,1000,Accident and health,17314.0,15023.0,-13133.0,-5932.0,-469.0,2016 AR
2016,1945,GBP,1000,Accident and health,17313.0,16704.0,-13483.0,-3742.0,-1355.0,2016 AR
2017,1945,GBP,1000,Accident and health,20722.0,20244.0,-11817.0,-7499.0,-2028.0,2018 AR
2018,1945,GBP,1000,Accident and health,17717.0,18626.0,-14080.0,-7657.0,-77.0,2018 AR
2019,1945,GBP,1000,Accident and health,17753.0,18639.0,-10717.0,-7508.0,-227.0,2020 AR
2020,1945,GBP,1000,Accident and health,8542.0,11193.0,-7267.0,-3498.0,-95.0,2020 AR
2021,1945,GBP,1000,Accident and health,11009.0,11263.0,-8281.0,-3751.0,-18.0,2021 AR
2022,1945,GBP,1000,Accident and health,13112.0,12328.0,-7832.0,-4167.0,20.0,2022 AR
2023,1945,GBP,1000,Accident and health,15785.0,14732.0,-9610.0,-5095.0,4426.0,2023 AR
2024,1945,GBP,1000,Accident and health,4338.0,4389.0,-4494.0,-1829.0,62.0,2024 AR
2015,1955,GBP,1000000,Accident and health,0.2,0.1,-0.1,0.0,0.0,2016 AR
2016,1955,GBP,1000000,Accident and health,0.2,0.1,0.0,-0.1,0.0,2016 AR
2017,1955,GBP,1000000,Accident and health,0.2,0.1,-0.1,-0.1,0.0,2018 AR
2018,1955,GBP,1000000,Accident and health,3.0,2.2,-1.4,0.1,-0.2,2018 AR
2019,1955,GBP,1000000,Accident and health,9.3,15.7,-4.8,-5.2,-5.0,2020 AR
2020,1955,GBP,1000000,Accident and health,3.5,2.9,-9.5,-1.9,1.9,2020 AR
2021,1955,GBP,1000,Accident and health,2945.0,2863.0,-9342.0,-991.0,2512.0,2021 AR
2022,1955,GBP,1000,Accident and health,10599.0,9633.0,-17038.0,-3081.0,2500.0,2022 AR
2023,1955,GBP,1000,Accident and health,28124.0,18380.0,-9155.0,-9232.0,425.0,2023 AR
2024,1955,GBP,1000,Accident and health,6957.0,7316.0,-3661.0,-3021.0,-194.0,2024 AR
2015,1967,USD,1000,Accident and health,13325.0,16605.0,-10383.0,-10116.0,164.0,2016 AR
2016,1967,USD,1000,Accident and health,10324.0,11470.0,-7521.0,-7284.0,-1207.0,2016 AR
2017,1967,USD,1000,Accident and health,11010.0,10440.0,-8396.0,-3281.0,477.0,2018 AR
2018,1967,USD,1000,Accident and health,5798.0,7447.0,-6724.0,-5054.0,142.0,2018 AR
2019,1967,USD,1000,Accident and health,1972.0,4262.0,-4972.0,-822.0,-171.0,2020 AR
2020,1967,USD,1000,Accident and health,2449.0,2909.0,-1467.0,-1278.0,-403.0,2020 AR
2021,1967,USD,1000,Accident and health,-35.0,-21.0,-186.0,14.0,391.0,2021 AR
2022,1967,USD,1000,Accident and health,-1.0,5.0,1160.0,-160.0,-505.0,2022 AR
2023,1967,USD,1000,Accident and health,0.0,5.0,134.0,-168.0,224.0,2023 AR
2024,1967,USD,1000,Accident and health,286.0,71.0,215.0,-217.0,-67.0,2024 AR
2023,1971,USD,1000,Accident and health,119.0,114.0,-73.0,-16.0,-7.0,2023 AR
2017,1991,GBP,1000,Accident and health,3425.0,2781.0,-1525.0,-1145.0,-177.0,2018 AR
2018,1991,GBP,1000,Accident and health,2897.0,3723.0,-910.0,-1001.0,431.0,2018 AR
2019,1991,GBP,1000,Accident and health,6646.0,5953.0,-2827.0,-2860.0,-62.0,2020 AR
2020,1991,GBP,1000,Accident and health,3226.0,4532.0,-4670.0,-2642.0,-1189.0,2020 AR
2024,1994,USD,1000,Accident and health,0.0,2.0,-594.0,-634.0,632.0,2024 AR
2015,2001,GBP,1000000,Accident and health,23.4,23.0,-5.8,-6.1,-6.8,2016 AR
2016,2001,GBP,1000000,Accident and health,26.4,29.7,-19.1,-9.6,-2.4,2016 AR
2017,2001,GBP,1000000,Accident and health,49.1,46.6,-27.9,-18.3,-6.1,2018 AR
2018,2001,GBP,1000000,Accident and health,63.4,56.5,-55.7,-15.2,-0.9,2018 AR
2019,2001,GBP,1000000,Accident and health,44.4,51.7,-31.4,-19.3,-4.4,2020 AR
2020,2001,GBP,1000000,Accident and health,28.5,30.1,-27.6,-12.5,1.8,2020 AR
2021,2001,GBP,1000000,Accident and health,29.8,30.0,-19.2,-8.5,-0.4,2021 AR
2022,2001,GBP,1000000,Accident and health,36.9,35.7,-20.6,-9.1,-5.9,2022 AR
2023,2001,GBP,1000000,Accident and health,33.0,33.2,-9.4,-12.9,-8.9,2023 AR
2024,2001,GBP,1000,Accident and health,34704.0,42751.0,-23863.0,-17031.0,1374.0,2024 AR
2015,2003,USD,1000,Accident and health,120590.0,108026.0,-59983.0,-52899.0,-5884.0,2016 AR
2016,2003,USD,1000,Accident and health,115509.0,110901.0,-72207.0,-41159.0,-11763.0,2016 AR
2017,2003,USD,1000,Accident and health,124552.0,134894.0,-75236.0,-47501.0,1847.0,2018 AR
2018,2003,USD,1000,Accident and health,155675.0,159543.0,-83715.0,-75253.0,2842.0,2018 AR
2019,2003,GBP,1000,Accident and health,112705.0,116078.0,-51812.0,-58894.0,-3769.0,2020 AR
2020,2003,GBP,1000,Accident and health,35702.0,59665.0,-91485.0,-28750.0,29821.0,2020 AR
