managing_agent,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
R&Q,58992.1,103347.4,,,,114132.9,,333442.2,,,
Ren Re,244279.251,335421.925,494961.091,563950.385,685428.004,743799.902,,,,,
RenaissanceRe,,,,,,,823718.381014493,965511.645967742,831172.174032258,1070767.1875,812119.259259259
RiverStone,,,,,,,1678234.1,1107696.0483871,1951875.24193548,22924.21875,4477.77777777778
Riverstone,-602.5,,,391884.407462687,430858.3,,,,,,
SCOR,,,,,,,265739.2,306214.3,325719.8,356054.0,382649.0
Sirius,83398.3,115182.4,110840.5,100064.3,96590.8,108832.2,,,,,
SiriusPoint,,,,,,,110801.6,109666.0,159823.3,180212.0,210190.0
StarStone,237909.0,338503.69999999995,235570.4,1219779.3,761643.2999999999,144478.0,,,,,
Starr,264307.8,275690.8,283868.837209302,296587.23880597,305766.796875,325039.765625,324933.985507246,389766.290322581,421496.612903226,373464.0625,353753.333333333
Statera,,,,,,,,,,,343328.1481481477
TM HCC,,,,,,,171477.5,216681.0,239298.7,226206.25,193177.777777778
TMK,1391832.2,1575534.0999999999,1720528.7999999998,1675790.3,1786295.7,1869581.5,1705078.3,2004915.4000000001,2236900.0,2269333.0,2228947.0
Talbot,666797.385620915,719111.111111111,715193.798449612,712910.447761194,772343.75,1391171.875,1486884.057971014,1532580.645161286,1739999.9999999981,1479260.15625,1575952.592592591
Travelers,287115.2,300465.9,361752.2,354004.4,369787.1,307668.4,337256.7,398989.8,433369.8,560426.0,552200.0
Vibe,17426.5,53633.6,127261.6,120878.4,178842.4,,,,,,
WR Berkley,,,,,,,359896.666666667,412894.758064516,447252.580645161,471267.96875,430299.259259259
WRB,142389.08496732,169197.333333333,172874.728682171,190365.298507463,262827.96875,326123.125,,,,,
Westfield Specialty,,,,,,,,637300.0,582400.0,653538.0,660547.0
