syndicate,year,managing_agent,gross_written_premium,outward_reinsurance_premium,net_written_premium,net_earned_premium,other_technical_income,technical_investment_income,gross_claims_paid,gross_change_in_provision_for_claims,ri_share_claims_paid,ri_share_change_in_provision_for_claims,net_claims_incrred,operating_expenses,balance_on_technical_account,profit_loss_on_exchange,other_non_technical_income,result_before_tax,financial_investments,ri_assets,unearned_premium,other_assets,total_assets,provisions_for_unearned_premium,claims_outstanding,other_liabilities,total_liabilities,currency,unit,net_loss_ratio,expense_ratio,combined_ratio,ri_cession_rate,net_retention_rate,technical_account_margin,pretax_margin,roa,ri_to_total_assets,reserve_ratio,gwp_size_bucket
1301,2015,Enstar,169521.194,-26785.827,142735.367,131722.87,0.0,27.198,-45371.817,-36305.19,2978.476,8652.28,-70046.251,-50930.462,10773.355,0.0,-3070.121,7703.234,80882.743,21067.355,9902.94,118010.453,229863.491,-78036.754,-136846.351,-14980.386,-229863.491,GBP,1000,53.18,38.66,91.84,15.8,84.2,8.18,5.85,3.35,9.17,103.89,Small (50-200m)
1414,2015,Ascot,566891.894,-198921.832,367970.062,384514.96,0.0,-788.677,-235202.154,1563.973,47047.281,-137.603,-186728.503,-158797.59,38200.19,0.0,-702.346,37497.844,383021.129,104223.611,24417.836,255411.594,767074.17,-230559.832,-459025.188,-77489.15,-767074.17,GBP,1000,48.56,41.3,89.86,35.09,64.91,9.93,9.75,4.89,13.59,119.38,Large (500m-1bn)
1458,2015,RenaissanceRe,244279.251,-64435.434,179843.817,145558.025,0.0,1073.53,-35791.487,-61700.862,645.923,13757.455,-83088.971,-63594.425,-51.841,0.0,1816.741,1764.9,246969.128,18778.16,26203.269,138369.919,430320.476,-120801.739,-250456.691,-59062.046,-430320.476,GBP,1000,57.08,43.69,100.77,26.38,73.62,-0.04,1.21,0.41,4.36,172.07,Mid (200-500m)
1492,2015,Probitas,3017.696,-9450.859,-6433.163,-233.236,0.0,0.0,0.0,-131.615,0.0,0.0,-131.615,-1775.71,-2140.561,0.0,-6.587,-2147.148,0.0,0.0,9156.518,4344.136,13500.654,-2822.004,-131.615,-10547.035,-13500.654,GBP,1000,-56.43,-761.34,-817.77,313.18,-213.18,917.77,920.59,-15.9,0.0,-56.43,Micro (<50m)
1729,2015,Dale,66140.215,-8687.298,57452.917,48358.344,0.0,25.857,-20180.153,-13032.671,155.601,2023.023,-31034.2,-22174.985,-4824.984,0.0,104.117,-4720.867,38109.356,2710.371,2566.966,31521.617,74908.31,-32010.09,-26777.752,-16120.468,-74908.31,GBP,1000,64.18,45.86,110.03,13.13,86.87,-9.98,-9.76,-6.3,3.62,55.37,Small (50-200m)
1861,2015,AmTrust,221964.046,-54215.825,167748.221,156734.768,0.0,581.846,-119536.907,28133.003,24014.368,-1159.209,-68548.745,-79875.235,8892.634,0.0,2537.032,11429.666,119575.138,49328.699,31802.24,159265.181,359971.258,-131858.071,-205441.27,-22671.917,-359971.258,GBP,1000,43.74,50.96,94.7,24.43,75.57,5.67,7.29,3.18,13.7,131.08,Mid (200-500m)
1880,2015,Tokio Marine Kiln,184008.446,-28479.925,155528.521,150704.512,0.0,702.284,-43932.75,-28830.75,6942.487,-5027.729,-70848.742,-63503.296,17054.758,0.0,-1585.922,15468.836,130501.234,19718.748,12509.499,167884.701,330614.182,-93330.195,-167948.27,-69335.717,-330614.182,GBP,1000,47.01,42.14,89.15,15.48,84.52,11.32,10.26,4.68,5.96,111.44,Small (50-200m)
1882,2015,Chubb,98274.724,-10935.712,87339.012,81175.184,0.0,1201.995,-46486.016,-16249.633,3954.102,-11373.548,-70155.095,-29403.235,-17181.151,0.0,1455.483,-15725.668,103601.238,12311.332,2188.196,90736.432,208837.198,-60671.613,-146607.464,-1558.121,-208837.198,GBP,1000,86.42,36.22,122.65,11.13,88.87,-21.17,-19.37,-7.53,5.9,180.61,Small (50-200m)
1884,2015,Premia,32636.965,-2441.198,30195.767,8206.203,0.0,0.105,-902.728,-6120.567,0.0,302.676,-6720.619,-11035.135,-9549.446,0.0,-80.912,-9630.358,431.373,313.144,5.628,26914.139,27664.284,-22709.321,-6327.53,1372.567,-27664.284,GBP,1000,81.9,134.47,216.37,7.48,92.52,-116.37,-117.35,-34.81,1.13,77.11,Micro (<50m)
1897,2015,Asta,96526.012,-7292.29,89233.722,85966.715,0.0,61.047,-54608.83,-3991.698,7726.808,-4078.27,-54951.99,-34245.691,-3169.919,0.0,-1234.838,-4404.757,38850.069,6447.756,1131.438,79850.483,126279.746,-53947.403,-77314.23,4981.887,-126279.746,GBP,1000,63.92,39.84,103.76,7.55,92.45,-3.69,-5.12,-3.49,5.11,89.94,Small (50-200m)
