syndicate,year,managing_agent,gross_written_premium,outward_reinsurance_premium,net_written_premium,net_earned_premium,other_technical_income,technical_investment_income,gross_claims_paid,gross_change_in_provision_for_claims,ri_share_claims_paid,ri_share_change_in_provision_for_claims,net_claims_incrred,operating_expenses,balance_on_technical_account,profit_loss_on_exchange,other_non_technical_income,result_before_tax,financial_investments,ri_assets,unearned_premium,other_assets,total_assets,provisions_for_unearned_premium,claims_outstanding,other_liabilities,total_liabilities,currency,unit
1967,2020,WRB,326123.125,194486.5625,131636.5625,144067.34375,0.0,3166.875,-172202.734375,-197954.296875,70103.90625,114122.109375,-185931.015625,-61131.875,-99828.671875,-5500.625,0.0,-105329.21875,132573.576642336,244298.321167883,86245.1824817518,238086.569343066,701203.649635036,-163029.708029197,-397907.153284672,,-701203.649635036,GBP,1000
1967,2021,WR Berkley,359896.666666667,132668.985507246,227227.68115942,185259.275362319,0.0,-582.31884057971,-239479.637681159,-16154.0579710145,164160.652173913,-23772.0289855072,-115245.144927536,-63307.1739130435,6124.63768115942,1884.20289855072,-522.971014492754,7485.94202898551,208569.111111111,220758.592592593,74566.5925925926,223903.555555556,727797.851851852,-194128.962962963,-414736.148148148,,-727797.851851852,GBP,1000
1967,2022,WR Berkley,412894.758064516,160690.403225806,252204.35483871,244177.661290323,0.0,-4871.53225806452,-237695.241935484,-34056.6935483871,142393.306451613,-18963.7903225806,-148322.419354839,-73158.064516129,17825.6451612903,3445.48387096774,0.0,21271.1290322581,330049.833333333,225675.333333333,69978.4166666667,244820.75,870524.333333333,-208508.25,-488503.416666667,,-870524.333333333,GBP,1000
1967,2023,WR Berkley,447252.580645161,154555.725806452,292696.85483871,259740.725806452,0.0,18595.6451612903,-155899.112903226,-5914.59677419355,51442.9032258064,-12323.2258064516,-122693.951612903,-79760.0,75882.4193548387,-1326.04838709677,0.0,74556.3709677419,429910.708661417,202405.826771654,57494.8818897638,245769.212598425,935580.62992126,-224838.503937008,-474641.968503937,,-935580.62992126,GBP,1000
1967,2024,WR Berkley,471267.96875,-163181.25,308086.71875,298606.25,0.0,20481.25,-160875.78125,-62305.46875,55702.34375,1584.375,-165894.53125,-92259.375,60933.59375,-1064.0625,0.0,59869.53125,551349.6,204208.8,68036.8,233690.4,1057285.6,-243251.2,-537899.2,-149143.2,-1057285.6,GBP,1000
1967,2025,WR Berkley,430299.259259259,-150745.185185185,279554.074074074,286877.777777778,0.0,26333.3333333333,-166988.888888889,-54333.3333333333,40628.1481481481,32420.0,-148274.074074074,-94380.0,70557.037037037,-1869.62962962963,0.0,68687.4074074074,605644.696969697,232343.181818182,63002.2727272727,205912.121212121,1106902.27272727,-225558.333333333,-582531.060606061,-136558.333333333,-1106902.27272727,GBP,1000
1969,2015,Apollo,188362.091503268,38988.4967320261,149373.594771242,130531.045751634,0.0,298.627450980392,-60629.8039215686,-19669.2810457516,5428.49673202614,6244.11764705882,-68626.5359477124,-52605.4901960784,9597.64705882353,0.0,-1785.29411764706,7812.35294117647,115501.836734694,20075.1020408163,18060.4761904762,106683.87755102,260321.292517007,-101401.224489796,-112534.557823129,,-260321.292517007,GBP,1000
1969,2016,Apollo,214668.962962963,45831.2592592593,168837.703703704,171383.555555556,0.0,636.962962962963,-82612.4444444444,-52378.962962963,7130.44444444444,20387.7037037037,-107473.185185185,-68154.8148148148,-3607.48148148149,-1072.37037037037,0.0,-4679.85185185185,167637.338709677,45331.935483871,23486.7741935484,151132.419354839,387588.467741936,-120567.580645161,-188248.306451613,,-387588.467741936,GBP,1000
1969,2017,Apollo,234129.76744186,62469.2248062015,171660.542635659,172592.325581395,0.0,1493.56589147287,-140361.550387597,-107992.558139535,19696.7441860465,54619.1472868217,-174038.217054264,-67153.4108527132,-67105.7364341085,470.852713178295,0.0,-66634.8837209302,129599.703703704,95235.037037037,25777.9259259259,151918.814814815,402531.481481481,-115004.148148148,-279447.185185185,,-402531.481481481,GBP,1000
1969,2018,Apollo,312639.701492537,124213.134328358,188426.567164179,181809.776119403,0.0,3066.26865671642,-161613.880597015,-151727.985074627,58810.1492537313,90902.7611940298,-163629.029850746,-65713.8059701492,-44466.7910447761,-589.10447761194,0.0,-45055.8208955224,199285.354330709,191131.811023622,50270.3937007874,221277.401574803,661964.960629921,-150001.102362205,-446339.05511811,,-661964.960629921,GBP,1000
1969,2019,Apollo,408978.75,194325.3125,214653.4375,207121.5625,0.0,6584.609375,-210001.71875,-30123.828125,90722.1875,10592.65625,-138810.703125,-72824.21875,2071.24999999996,1227.109375,0.0,3298.515625,274471.439393939,194442.424242424,89997.7272727273,354480.681818182,913392.272727273,-192662.272727273,-459214.090909091,,-913392.272727273,GBP,1000
1969,2020,Apollo,428188.90625,206135.703125,222053.203125,210803.984375,0.0,6976.640625,-198483.671875,-47027.890625,85707.8125,26444.6875,-133358.984375,-76243.59375,8178.046875,-725.78125,0.0,7452.265625,304971.751824818,214648.686131387,99362.7737226277,363550.510948905,982533.722627737,-209274.452554745,-492815.328467153,,-982533.722627737,GBP,1000
1969,2021,Apollo,512851.231884058,262157.536231884,250693.695652174,223064.565217391,0.0,-779.420289855072,-290995.724637681,-37684.8550724638,115425.579710145,70421.3043478261,-142833.695652174,-85741.1594202899,-6289.71014492754,222.028985507246,0.0,-6067.68115942029,274848.888888889,288105.259259259,101420.666666667,397851.111111111,1062225.92592593,-240303.111111111,-535116.666666667,,-1062225.92592593,GBP,1000
1969,2022,Apollo,492544.677419355,99123.4677419355,393421.209677419,319117.741935484,0.0,-3025.40322580645,-216677.016129032,-81845.564516129,97597.6612903226,42874.0322580645,-158050.967741935,-125141.612903226,32899.7580645161,591.935483870968,0.0,33491.6935483871,391703.666666667,366034.166666667,40607.4166666667,374806.916666667,1173152.16666667,-268484.083333333,-677457.833333333,,-1173152.16666667,GBP,1000
1969,2023,Apollo,581617.338709677,107054.35483871,474562.983870968,421135.403225806,0.0,19106.2096774194,-240412.177419355,-64267.6612903226,122795.64516129,-44678.2258064516,-226562.419354839,-155207.983870968,58471.2096774194,-594.677419354839,0.0,57876.6129032258,549600.94488189,305345.826771654,47328.7401574803,395265.669291339,1297541.18110236,-321262.362204724,-708130.472440945,,-1297541.18110236,GBP,1000
1969,2024,Apollo,670515.625,-108632.8125,561882.8125,525852.34375,0.0,22684.375,-306912.5,-101752.34375,126021.875,-40621.875,-323264.84375,-187906.25,37365.625,-1210.9375,0.0,36154.6875,647971.2,268774.4,57513.6,507469.6,1481728.8,-369589.6,-817290.4,-205656.8,-1481728.8,GBP,1000
1969,2025,Apollo,669021.481481481,-114402.962962963,554618.518518518,516657.777777778,0.0,35314.8148148148,-259676.296296296,-37434.0740740741,85791.1111111111,-57689.6296296296,-269008.888888889,-199937.777777778,83025.9259259259,-492.592592592593,0.0,82533.3333333333,855244.696969697,196178.03030303,71007.5757575757,539834.090909091,1662264.39393939,-410796.96969697,-824002.272727273,-278529.545454545,-1662264.39393939,GBP,1000
1971,2019,Apollo,66946.25,39592.03125,27354.21875,11355.0,0.0,150.78125,-23.203125,-21995.703125,1.25,12607.96875,-9409.6875,-2813.4375,-717.34375,-175.703125,0.0,-893.046875,0.0,12126.6666666667,24234.6212121212,28057.3484848485,64418.6363636364,-39244.4696969697,-21128.3333333333,,-64418.6363636364,GBP,1000
1971,2020,Apollo,78434.765625,44272.890625,34161.875,29333.203125,0.0,752.96875,-5152.265625,-40579.84375,2522.890625,21229.140625,-21980.078125,-4109.21875,3996.875,64.453125,0.0,4061.328125,0.0,31692.8467153285,29114.8175182482,56651.897810219,117459.562043796,-48470.2189781022,-58846.2773722628,,-117459.562043796,GBP,1000
1971,2021,Apollo,115898.550724638,54169.8550724638,61728.6956521739,53684.8550724638,0.0,-254.202898550725,-6292.17391304348,-76662.5362318841,3186.95652173913,35545.1449275362,-44222.6086956522,-2812.75362318841,6395.28985507246,121.231884057971,0.0,6516.59420289855,0.0,67988.5185185185,28130.5925925926,114776.148148148,210895.259259259,-55839.4814814815,-137028.666666667,,-210895.259259259,GBP,1000
1971,2022,Apollo,217566.290322581,109716.532258065,107849.758064516,79105.564516129,0.0,-986.854838709677,-33609.5161290323,-91133.7096774194,20463.1451612903,42169.1935483871,-62110.9677419355,-4993.70967741936,11014.0322580645,483.870967741935,0.0,11497.9032258065,15727.6666666667,118886.166666667,58001.5833333333,278085.916666667,470701.333333333,-116382.833333333,-245272.333333333,,-470701.333333333,GBP,1000
1971,2023,Apollo,238750.967741935,105286.129032258,133464.838709677,116093.306451613,0.0,8041.53225806452,-53708.5483870968,-97723.1451612903,29611.935483871,36252.9838709677,-85566.7741935484,-15924.3548387097,22643.7096774194,132.661290322581,0.0,22776.3709677419,80386.9291338583,148744.251968504,66419.4488188976,326689.291338583,622239.921259842,-139406.456692913,-329211.25984252,,-622239.921259842,GBP,1000
1971,2024,Apollo,320959.375,-177479.6875,143479.6875,135249.21875,0.0,10021.875,-71691.40625,-114683.59375,35571.875,53847.65625,-96955.46875,-19784.375,28531.25,450.78125,0.0,28982.03125,241380.0,206545.6,103875.2,352375.2,904176.0,-186480.8,-452302.4,-206450.4,-904176.0,GBP,1000
1971,2025,Apollo,455434.814814815,-228211.851851852,227222.962962963,190730.37037037,0.0,18799.2592592593,-80282.2222222222,-161619.259259259,36728.8888888889,82101.4814814815,-123071.111111111,-36254.8148148148,50203.7037037037,214.074074074074,0.0,50417.7777777778,382126.515151515,280647.727272727,146507.575757576,441680.303030303,1250962.12121212,-262019.696969697,-595583.333333333,-318858.333333333,-1250962.12121212,GBP,1000
1975,2018,Coverys,36137.8,386.5,35751.3,20973.8,0.0,20.6,-96.0,-14264.4,0.0,531.9,-13828.5,-10126.5,-2960.6,-261.9,0.0,-3222.5,0.0,561.2,63.8,27384.4,28009.4,-15611.7,-14938.1,,-28009.4,GBP,1000
1975,2019,Coverys,38657.3,2035.8,36621.5,35825.7,0.0,504.2,-3301.8,-26148.1,0.0,-226.6,-29676.5,-15477.7,-8824.30000000001,455.2,0.0,-8369.2,23013.8,320.9,943.5,22030.6,46308.8,-16691.5,-39864.5,,-46308.8,GBP,1000
1975,2020,Coverys,54682.5,3801.4,50881.1,45120.7,0.0,1254.0,-8523.6,-45613.3,0.0,3802.5,-50334.3,-18965.8,-22925.4,1788.7,0.0,-21136.7,33297.8,3875.1,1593.3,35188.2,73954.4,-22576.6,-81617.5,,-73954.4,GBP,1000
1975,2021,Coverys,51747.3,30095.4,21651.9,21500.0,0.0,-352.9,-34068.1,2401.7,0.0,27884.5,-3781.9,-17344.7,20.4999999999964,-205.0,0.0,-184.5,47174.3,32324.4,1243.7,35540.1,116282.5,-22551.7,-79920.7,,-116282.5,GBP,1000
1975,2022,Coverys,52284.0,121852.2,-69568.2,-46693.0,0.0,-1730.7,-13419.7,-19062.5,12702.0,67500.3,47720.0,-1257.6,-1961.3,-1092.5,0.0,-3053.7,60831.1,105028.7,24466.0,51226.8,241552.6,-24466.0,-107473.2,,-241552.6,GBP,1000
1980,2018,Asta,188349.328358209,110427.23880597,77922.0895522388,41211.0447761194,0.0,766.865671641791,-60362.9850746269,-42960.1492537313,5406.19402985075,38874.6268656716,-59042.3134328358,-13406.6417910448,-30471.0447761194,620.671641791045,0.0,-29850.3731343284,65337.0866141732,38962.4409448819,61281.1023622047,137931.181102362,303511.811023622,-100448.582677165,-174507.874015748,,-303511.811023622,GBP,1000
1980,2019,Asta,147820.390625,83109.765625,64710.625,70595.234375,0.0,2602.265625,-91879.765625,-53844.765625,29176.09375,43473.359375,-73075.078125,-25238.671875,-25116.25,-2836.796875,0.0,-27952.96875,98885.0757575758,83621.8181818182,39284.2424242424,70761.5909090909,292552.727272727,-69619.8484848485,-220632.121212121,,-292552.727272727,GBP,1000
1984,2025,Asta,103949.62962963,-17849.6296296296,86100.0,27459.2592592593,0.0,4.44444444444444,-241.481481481481,-20625.9259259259,0.0,1882.22222222222,-18985.1851851852,-9709.62962962963,-1231.11111111111,-100.740740740741,0.0,-1331.85185185185,4225.75757575758,2349.24242424242,14937.1212121212,92473.4848484848,113985.606060606,-75779.5454545455,-21644.696969697,-17928.7878787879,-113985.606060606,GBP,1000
1985,2023,Asta Flux,74471.2903225806,8347.74193548387,66123.5483870968,24338.6290322581,0.0,15.8870967741935,-179.354838709677,-14799.0322580645,12.8225806451613,736.209677419355,-14229.3548387097,-10399.1935483871,-274.032258064515,100.887096774194,0.0,-173.064516129032,927.55905511811,718.897637795276,5750.15748031496,64074.2519685039,71470.8661417323,-46357.4803149606,-14453.3858267717,,-71470.8661417323,GBP,1000
1985,2024,Asta,155653.90625,-13142.96875,142510.9375,80384.375,0.0,340.625,-4378.125,-46196.875,215.625,2313.28125,-48046.09375,-27633.59375,5045.3125,175.78125,0.0,5221.09375,25546.4,3094.4,11079.2,152696.8,192416.8,-115900.0,-61866.4,-9632.8,-192416.8,GBP,1000
1985,2025,Asta,241169.62962963,-15344.4444444444,225825.185185185,166406.666666667,0.0,2653.33333333333,-15162.2222222222,-94216.2962962963,758.518518518518,4705.18518518518,-103914.814814815,-50649.6296296296,14495.5555555556,-197.777777777778,0.0,14297.7777777778,95307.5757575757,7774.24242424242,11459.8484848485,247287.121212121,361828.787878788,-171971.96969697,-155605.303030303,-15081.8181818182,-361828.787878788,GBP,1000
1988,2021,Asta CFC,55086.5942028986,5204.71014492754,49881.884057971,13057.3188405797,0.0,0.0,-159.855072463768,-6296.66666666667,0.0,0.0,-6456.52173913043,-7252.53623188406,-651.739130434783,-115.579710144928,0.0,-767.31884057971,414.296296296296,0.0,4653.55555555556,52358.4444444444,57426.2962962963,-41840.1481481481,-6305.62962962963,,-57426.2962962963,GBP,1000
