Synd,Year,Currency,Unit,Investment Return,Financial Investment_Cost,Financial Investment_FairValue,Asset Return,link
3623,2024,USD,1000," 16,861 "," 689,265 "," 694,443 ", 0.02446 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/5682df64-672b-480e-88e3-2d265bc40181/3623_Accounts_2025Q4_20260220_211725.html
1183,2025,USD,1000," 90,638 "," 1,489,096 "," 1,489,573 ", 0.06087 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/ea56822f-b33f-47df-871a-224646e8b61b/1183_Accounts_2025Q4_20260220_160038.html
1183,2024,USD,1000," 68,965 "," 1,573,555 "," 1,606,229 ", 0.04383 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/ea56822f-b33f-47df-871a-224646e8b61b/1183_Accounts_2025Q4_20260220_160038.html
609,2025,GBP,1000," 58,021 "," 1,092,681 "," 1,108,582 ", 0.05310 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/db9f256c-4a72-48fa-bb35-15ad8023c004/0609_Accounts_2025Q4_20260220_125331.html
609,2024,GBP,1000," 59,393 "," 1,260,834 "," 1,337,744 ", 0.04711 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/db9f256c-4a72-48fa-bb35-15ad8023c004/0609_Accounts_2025Q4_20260220_125331.html
4711,2025,GBP,1000," 26,068 "," 339,457 "," 347,466 ", 0.07679 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/fa250cca-e24e-45c1-99e0-55349da58d7a/4711_Accounts_2025Q4_20260220_152053.html
4711,2024,GBP,1000," 10,002 "," 317,330 "," 343,884 ", 0.03152 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/fa250cca-e24e-45c1-99e0-55349da58d7a/4711_Accounts_2025Q4_20260220_152053.html
218,2025,GBP,1000," 31,323 "," 604,361 ",,5.18%,IQUW Syndicate Management Limited 0218 - 2025 YE
218,2024,GBP,1000," 24,375 "," 502,882 ",,4.85%,IQUW Syndicate Management Limited 0218 - 2025 YE
308,2025,GBP,1000, 645 ," 14,944 "," 15,019 ",4.32%,Syndicate Accounts
308,2024,GBP,1000, 624 ," 14,842 "," 14,840 ",4.20%,Syndicate Accounts
318,2025,GBP,1000," 16,967 "," 374,386 ",,4.53%,
318,2024,GBP,1000," 14,925 "," 354,854 ",,4.21%,
382,2025,GBP,1000," 32,762 "," 672,463 "," 663,590 ",4.87%,Syndicate Accounts
382,2024,GBP,1000," 23,434 "," 583,275 "," 583,031 ",4.02%,Syndicate Accounts
386,2025,GBP,1000," 58,013 "," 943,115 "," 958,343 ",6.15%,0386_Accounts_2025Q4
386,2024,GBP,1000," 46,513 "," 941,505 "," 936,269 ",4.94%,0386_Accounts_2025Q4
